t,v
0.019139,-0.000035
0.019200,-0.000044
0.019264,-0.000088
0.019326,-0.000053
0.019388,-0.000106
0.019452,-0.000167
0.019513,-0.000167
0.019576,-0.000229
0.019638,-0.000176
0.019701,-0.000220
0.019763,-0.000273
0.019825,-0.000264
0.019887,-0.000308
0.019949,-0.000273
0.020012,-0.000273
0.020074,-0.000281
0.020138,-0.000281
0.020200,-0.000281
0.020263,-0.000264
0.020325,-0.000255
0.020387,-0.000237
0.020450,-0.000211
0.020512,-0.000167
0.020575,-0.000141
0.020637,-0.000097
0.020699,-0.000053
0.020762,0.000018
0.020826,0.000106
0.020888,0.000106
0.020950,0.000158
0.021012,0.000229
0.021075,0.000246
0.021138,0.000387
0.021200,0.000396
0.021262,0.000431
0.021324,0.000466
0.021388,0.000466
0.021450,0.000589
0.021512,0.000563
0.021575,0.000572
0.021636,0.000589
0.021699,0.000563
0.021761,0.000616
0.021824,0.000581
0.021886,0.000545
0.021949,0.000545
0.022010,0.000466
0.022071,0.000493
0.022134,0.000440
0.022196,0.000387
0.022260,0.000352
0.022322,0.000281
0.022384,0.000273
0.022447,0.000237
0.022509,0.000194
0.022573,0.000176
0.022635,0.000070
0.022698,0.000070
0.022759,0.000053
0.022821,0.000009
0.022884,0.000009
0.022947,-0.000088
0.023009,-0.000079
0.023071,-0.000062
0.023134,-0.000106
0.023197,-0.000062
0.023261,-0.000141
0.023323,-0.000114
0.023385,-0.000114
0.023447,-0.000114
0.023511,-0.000070
0.023572,-0.000123
0.023633,-0.000106
0.023696,-0.000088
0.023758,-0.000097
0.023821,-0.000044
0.023883,-0.000106
0.023945,-0.000097
0.024008,-0.000088
0.024071,-0.000106
0.024134,-0.000079
0.024198,-0.000158
0.024261,-0.000202
0.024325,-0.000211
0.024388,-0.000264
0.024452,-0.000246
0.024515,-0.000361
0.024578,-0.000422
0.024642,-0.000466
0.024705,-0.000563
0.024769,-0.000554
0.024832,-0.000669
0.024895,-0.000748
0.024959,-0.000809
0.025023,-0.000924
0.025085,-0.000897
0.025148,-0.000976
0.025209,-0.001056
0.025271,-0.001082
0.025334,-0.001152
0.025397,-0.001091
0.025459,-0.001135
0.025521,-0.001152
0.025584,-0.001117
0.025646,-0.001152
0.025710,-0.001047
0.025772,-0.001003
0.025834,-0.000968
0.025898,-0.000880
0.025961,-0.000836
0.026023,-0.000669
0.026084,-0.000572
0.026146,-0.000457
0.026209,-0.000317
0.026272,-0.000237
0.026334,-0.000044
0.026396,0.000123
0.026459,0.000246
0.026523,0.000422
0.026585,0.000510
0.026647,0.000695
0.026710,0.000862
0.026771,0.000994
0.026835,0.001152
0.026897,0.001223
0.026958,0.001372
0.027021,0.001495
0.027083,0.001583
0.027147,0.001698
0.027209,0.001698
0.027273,0.001777
0.027335,0.001847
0.027397,0.001847
0.027459,0.001926
0.027521,0.001865
0.027584,0.001847
0.027646,0.001830
0.027710,0.001786
0.027772,0.001777
0.027835,0.001662
0.027897,0.001592
0.027959,0.001513
0.028023,0.001399
0.028085,0.001355
0.028148,0.001214
0.028210,0.001082
0.028272,0.001003
0.028335,0.000871
0.028398,0.000818
0.028460,0.000669
0.028522,0.000554
0.028584,0.000457
0.028647,0.000334
0.028710,0.000325
0.028772,0.000202
0.028834,0.000097
0.028897,0.000026
0.028961,-0.000070
0.029022,-0.000062
0.029084,-0.000132
0.029147,-0.000211
0.029209,-0.000229
0.029272,-0.000317
0.029334,-0.000255
0.029396,-0.000308
0.029459,-0.000334
0.029523,-0.000334
0.029585,-0.000387
0.029647,-0.000325
0.029710,-0.000325
0.029771,-0.000352
0.029835,-0.000317
0.029896,-0.000369
0.029958,-0.000308
0.030021,-0.000308
0.030083,-0.000317
0.030147,-0.000290
0.030209,-0.000343
0.030273,-0.000299
0.030335,-0.000281
0.030397,-0.000290
0.030461,-0.000264
0.030523,-0.000334
0.030586,-0.000290
0.030649,-0.000281
0.030710,-0.000299
0.030773,-0.000255
0.030836,-0.000308
0.030898,-0.000299
0.030960,-0.000281
0.031023,-0.000308
0.031086,-0.000246
0.031149,-0.000325
0.031211,-0.000317
0.031273,-0.000281
0.031336,-0.000299
0.031399,-0.000246
0.031460,-0.000308
0.031521,-0.000290
0.031583,-0.000264
0.031647,-0.000281
0.031710,-0.000202
0.031772,-0.000246
0.031834,-0.000246
0.031896,-0.000194
0.031961,-0.000194
0.032023,-0.000114
0.032085,-0.000158
0.032148,-0.000150
0.032209,-0.000106
0.032273,-0.000123
0.032334,-0.000018
0.032396,-0.000044
0.032459,-0.000044
0.032521,-0.000009
0.032585,-0.000026
0.032647,0.000079
0.032711,0.000035
0.032773,0.000018
0.032835,0.000044
0.032899,0.000000
0.032961,0.000079
0.033024,0.000035
0.033085,0.000018
0.033147,0.000000
0.033208,-0.000062
0.033271,-0.000018
0.033333,-0.000079
0.033395,-0.000150
0.033459,-0.000158
0.033523,-0.000246
0.033585,-0.000237
0.033647,-0.000299
0.033709,-0.000387
0.033773,-0.000413
0.033836,-0.000510
0.033897,-0.000519
0.033958,-0.000545
0.034020,-0.000625
0.034085,-0.000651
0.034147,-0.000739
0.034209,-0.000756
0.034271,-0.000774
0.034333,-0.000818
0.034397,-0.000809
0.034459,-0.000897
0.034521,-0.000888
0.034584,-0.000880
0.034645,-0.000906
0.034709,-0.000853
0.034771,-0.000915
0.034834,-0.000906
0.034896,-0.000871
0.034959,-0.000862
0.035021,-0.000800
0.035083,-0.000853
0.035147,-0.000800
0.035209,-0.000765
0.035272,-0.000765
0.035334,-0.000660
0.035397,-0.000695
0.035459,-0.000669
0.035520,-0.000607
0.035584,-0.000607
0.035646,-0.000484
0.035709,-0.000510
0.035771,-0.000475
0.035833,-0.000396
0.035897,-0.000396
0.035960,-0.000273
0.036022,-0.000264
0.036084,-0.000220
0.036146,-0.000167
0.036210,-0.000150
0.036273,0.000000
0.036335,0.000018
0.036396,0.000070
0.036458,0.000132
0.036523,0.000167
0.036585,0.000317
0.036647,0.000361
0.036710,0.000396
0.036771,0.000484
0.036834,0.000501
0.036896,0.000669
0.036958,0.000721
0.037021,0.000765
0.037085,0.000844
0.037147,0.000880
0.037209,0.001003
0.037273,0.001064
0.037334,0.001108
0.037399,0.001196
0.037462,0.001240
0.037522,0.001284
0.037585,0.001337
0.037646,0.001381
0.037710,0.001416
0.037771,0.001460
0.037834,0.001478
0.037896,0.001513
0.037958,0.001522
0.038022,0.001531
0.038084,0.001557
0.038147,0.001539
0.038209,0.001548
0.038271,0.001531
0.038335,0.001504
0.038398,0.001539
0.038459,0.001469
0.038521,0.001416
0.038583,0.001399
0.038647,0.001293
0.038710,0.001311
0.038772,0.001249
0.038834,0.001152
0.038896,0.001117
0.038960,0.001012
0.039022,0.001012
0.039084,0.000932
0.039146,0.000836
0.039209,0.000783
0.039272,0.000686
0.039333,0.000660
0.039395,0.000589
0.039457,0.000519
0.039522,0.000484
0.039584,0.000369
0.039646,0.000369
0.039710,0.000334
0.039771,0.000281
0.039836,0.000281
0.039898,0.000194
0.039960,0.000202
0.040023,0.000185
0.040084,0.000176
0.040148,0.000220
0.040209,0.000141
0.040272,0.000167
0.040334,0.000185
0.040396,0.000167
0.040460,0.000229
0.040522,0.000167
0.040585,0.000185
0.040647,0.000220
0.040710,0.000202
0.040772,0.000273
0.040835,0.000194
0.040896,0.000220
0.040957,0.000229
0.041020,0.000202
0.041082,0.000255
0.041145,0.000185
0.041207,0.000141
0.041269,0.000141
0.041332,0.000097
0.041396,0.000114
0.041458,0.000018
0.041520,-0.000026
0.041582,-0.000070
0.041646,-0.000150
0.041709,-0.000141
0.041772,-0.000237
0.041836,-0.000308
0.041899,-0.000361
0.041963,-0.000457
0.042026,-0.000440
0.042089,-0.000563
0.042153,-0.000633
0.042216,-0.000677
0.042280,-0.000783
0.042343,-0.000756
0.042406,-0.000844
0.042470,-0.000906
